date,datetime,SACTMIN,SPOSTMIN
07/02/2018,2018-07-02 17:58:08,,90
07/02/2018,2018-07-02 18:02:07,,45
07/02/2018,2018-07-02 18:09:06,,45
07/02/2018,2018-07-02 18:16:07,,45
07/02/2018,2018-07-02 18:20:15,,45
07/02/2018,2018-07-02 18:23:07,,45
07/02/2018,2018-07-02 18:29:06,,60
07/02/2018,2018-07-02 18:37:07,,60
07/02/2018,2018-07-02 18:44:07,,60
07/02/2018,2018-07-02 18:51:07,,60
07/02/2018,2018-07-02 18:57:22,,60
07/02/2018,2018-07-02 18:58:07,,60
07/02/2018,2018-07-02 19:02:08,,60
07/02/2018,2018-07-02 19:09:08,,60
07/02/2018,2018-07-02 19:16:09,,60
07/02/2018,2018-07-02 19:23:08,,60
07/02/2018,2018-07-02 19:29:06,,90
07/02/2018,2018-07-02 19:37:07,,90
07/02/2018,2018-07-02 19:44:07,,60
07/02/2018,2018-07-02 19:51:08,,50
07/02/2018,2018-07-02 19:51:59,,45
07/02/2018,2018-07-02 19:58:08,,45
07/02/2018,2018-07-02 20:02:07,,45
07/02/2018,2018-07-02 20:09:06,,45
07/02/2018,2018-07-02 20:16:10,,45
07/02/2018,2018-07-02 20:23:08,,45
07/02/2018,2018-07-02 20:29:06,,45
07/02/2018,2018-07-02 20:37:06,,45
07/02/2018,2018-07-02 20:41:35,26,
07/02/2018,2018-07-02 20:44:08,,45
07/02/2018,2018-07-02 20:51:09,,45
07/02/2018,2018-07-02 20:58:08,,45
07/02/2018,2018-07-02 21:02:07,,45
07/02/2018,2018-07-02 21:09:07,,45
07/02/2018,2018-07-02 21:16:08,,45
07/02/2018,2018-07-02 21:18:00,,45
07/02/2018,2018-07-02 21:23:06,,45
07/02/2018,2018-07-02 21:29:06,,45
07/02/2018,2018-07-02 21:37:06,,25
07/02/2018,2018-07-02 21:44:06,,25
07/02/2018,2018-07-02 21:51:06,,25
07/02/2018,2018-07-02 21:58:08,,30
07/02/2018,2018-07-02 22:02:07,,30
07/02/2018,2018-07-02 22:09:07,,30
07/02/2018,2018-07-02 22:13:07,17,
07/02/2018,2018-07-02 22:16:07,,30
07/02/2018,2018-07-02 22:23:07,,30
07/02/2018,2018-07-02 22:29:06,,30
07/02/2018,2018-07-02 22:37:06,,-999
07/02/2018,2018-07-02 22:44:06,,-999
07/02/2018,2018-07-02 22:51:06,,-999
07/02/2018,2018-07-02 22:58:06,,-999
07/02/2018,2018-07-02 23:02:07,,-999
07/02/2018,2018-07-02 23:09:08,,-999
07/03/2018,2018-07-03 06:16:09,,-999
07/03/2018,2018-07-03 06:23:06,,-999
07/03/2018,2018-07-03 06:29:07,,-999
07/03/2018,2018-07-03 06:37:06,,-999
07/03/2018,2018-07-03 06:44:06,,10
07/03/2018,2018-07-03 06:51:08,,10
07/03/2018,2018-07-03 06:58:08,,10
07/03/2018,2018-07-03 07:02:07,,10
07/03/2018,2018-07-03 07:09:07,,10
07/03/2018,2018-07-03 07:16:08,,10
